"Notes"	"Underlying Cause of death"	"Underlying Cause of death Code"	"State"	"State Code"	"County"	"County Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"St. Louis city, MO"	"29510"	"Decedent's home"	"4"	428	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"St. Louis city, MO"	"29510"	"Other"	"7"	172	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Nevada"	"32"	"Clark County, NV"	"32003"	"Medical Facility - Outpatient or ER"	"2"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Nevada"	"32"	"Clark County, NV"	"32003"	"Decedent's home"	"4"	47	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Nevada"	"32"	"Washoe County, NV"	"32031"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Atlantic County, NJ"	"34001"	"Decedent's home"	"4"	42	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Atlantic County, NJ"	"34001"	"Other"	"7"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Bergen County, NJ"	"34003"	"Decedent's home"	"4"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Cape May County, NJ"	"34009"	"Decedent's home"	"4"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Cumberland County, NJ"	"34011"	"Decedent's home"	"4"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Cumberland County, NJ"	"34011"	"Other"	"7"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Essex County, NJ"	"34013"	"Medical Facility - Outpatient or ER"	"2"	31	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Essex County, NJ"	"34013"	"Decedent's home"	"4"	83	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Essex County, NJ"	"34013"	"Other"	"7"	24	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Hudson County, NJ"	"34017"	"Medical Facility - Outpatient or ER"	"2"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Hudson County, NJ"	"34017"	"Decedent's home"	"4"	24	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Hudson County, NJ"	"34017"	"Other"	"7"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Mercer County, NJ"	"34021"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Monmouth County, NJ"	"34025"	"Decedent's home"	"4"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Monmouth County, NJ"	"34025"	"Other"	"7"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Morris County, NJ"	"34027"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Ocean County, NJ"	"34029"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Ocean County, NJ"	"34029"	"Other"	"7"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Passaic County, NJ"	"34031"	"Decedent's home"	"4"	27	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Passaic County, NJ"	"34031"	"Other"	"7"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Somerset County, NJ"	"34035"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Union County, NJ"	"34039"	"Medical Facility - Outpatient or ER"	"2"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Union County, NJ"	"34039"	"Decedent's home"	"4"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New Jersey"	"34"	"Union County, NJ"	"34039"	"Other"	"7"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New York"	"36"	"Broome County, NY"	"36007"	"Decedent's home"	"4"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New York"	"36"	"Erie County, NY"	"36029"	"Medical Facility - Outpatient or ER"	"2"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New York"	"36"	"Erie County, NY"	"36029"	"Decedent's home"	"4"	62	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New York"	"36"	"Erie County, NY"	"36029"	"Other"	"7"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New York"	"36"	"Kings County, NY"	"36047"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New York"	"36"	"Kings County, NY"	"36047"	"Other"	"7"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New York"	"36"	"Oneida County, NY"	"36065"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New York"	"36"	"Onondaga County, NY"	"36067"	"Decedent's home"	"4"	20	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New York"	"36"	"Suffolk County, NY"	"36103"	"Medical Facility - Outpatient or ER"	"2"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New York"	"36"	"Suffolk County, NY"	"36103"	"Decedent's home"	"4"	46	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"New York"	"36"	"Suffolk County, NY"	"36103"	"Other"	"7"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Brunswick County, NC"	"37019"	"Decedent's home"	"4"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Buncombe County, NC"	"37021"	"Medical Facility - Inpatient"	"1"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Buncombe County, NC"	"37021"	"Decedent's home"	"4"	36	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Buncombe County, NC"	"37021"	"Other"	"7"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Burke County, NC"	"37023"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Cabarrus County, NC"	"37025"	"Decedent's home"	"4"	41	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Caldwell County, NC"	"37027"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Cumberland County, NC"	"37051"	"Decedent's home"	"4"	41	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Cumberland County, NC"	"37051"	"Other"	"7"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Davidson County, NC"	"37057"	"Decedent's home"	"4"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Durham County, NC"	"37063"	"Decedent's home"	"4"	19	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Gaston County, NC"	"37071"	"Medical Facility - Outpatient or ER"	"2"	32	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Gaston County, NC"	"37071"	"Decedent's home"	"4"	53	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Gaston County, NC"	"37071"	"Other"	"7"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Guilford County, NC"	"37081"	"Medical Facility - Inpatient"	"1"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Guilford County, NC"	"37081"	"Medical Facility - Outpatient or ER"	"2"	20	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Guilford County, NC"	"37081"	"Decedent's home"	"4"	75	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Guilford County, NC"	"37081"	"Other"	"7"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Haywood County, NC"	"37087"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Iredell County, NC"	"37097"	"Decedent's home"	"4"	20	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Johnston County, NC"	"37101"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Mecklenburg County, NC"	"37119"	"Decedent's home"	"4"	23	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Mecklenburg County, NC"	"37119"	"Other"	"7"	20	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"New Hanover County, NC"	"37129"	"Decedent's home"	"4"	30	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Pender County, NC"	"37141"	"Decedent's home"	"4"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Randolph County, NC"	"37151"	"Decedent's home"	"4"	21	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Rowan County, NC"	"37159"	"Decedent's home"	"4"	30	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Union County, NC"	"37179"	"Decedent's home"	"4"	24	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Wake County, NC"	"37183"	"Decedent's home"	"4"	53	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"North Carolina"	"37"	"Wake County, NC"	"37183"	"Other"	"7"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Ohio"	"39"	"Clark County, OH"	"39023"	"Decedent's home"	"4"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Ohio"	"39"	"Clermont County, OH"	"39025"	"Medical Facility - Outpatient or ER"	"2"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Ohio"	"39"	"Franklin County, OH"	"39049"	"Medical Facility - Inpatient"	"1"	14	Not Applicable	Not Applicable
